Move Name,Power,Accuracy,type,move_description
pound,40,100,1,Inflicts regular damage.
karate-chop,50,100,2,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
double-slap,15,85,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
comet-punch,18,85,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
mega-punch,80,85,1,Inflicts regular damage.
pay-day,40,100,1,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
fire-punch,75,100,10,Inflicts regular damage.  Has a 10% chance to burn the target.
ice-punch,75,100,15,Inflicts regular damage.  Has a 10% chance to freeze the target.
thunder-punch,75,100,13,Inflicts regular damage.  Has a 10% chance to paralyze the target.
scratch,40,100,1,Inflicts regular damage.
vice-grip,55,100,1,Inflicts regular damage.
guillotine,,30,1,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
razor-wind,80,100,1,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk."
swords-dance,,,1,Raises the user's Attack by two stages.
cut,50,95,1,Inflicts regular damage.
gust,40,100,3,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
wing-attack,60,100,3,Inflicts regular damage.
whirlwind,,,1,"Switches the target out for another of its trainer's Pok�mon selected at random.  Wild battles end immediately.

Doesn't affect Pok�mon with suction cups or under the effect of ingrain."
fly,90,95,3,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk."
bind,15,85,1,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
slam,80,75,1,Inflicts regular damage.
vine-whip,45,100,12,Inflicts regular damage.
stomp,65,100,1,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pok�mon that have used minimize since entering the field."
double-kick,30,100,2,Inflicts regular damage.  Hits twice in one turn.
mega-kick,120,75,1,Inflicts regular damage.
jump-kick,100,95,2,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect."
rolling-kick,60,85,2,Inflicts regular damage.  Has a 30% chance to make the target flinch.
sand-attack,,100,5,Lowers the target's accuracy by one stage.
headbutt,70,100,1,Inflicts regular damage.  Has a 30% chance to make the target flinch.
horn-attack,65,100,1,Inflicts regular damage.
fury-attack,15,85,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
horn-drill,,30,1,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
tackle,40,100,1,Inflicts regular damage.
body-slam,85,100,1,Inflicts regular damage.  Has a 30% chance to paralyze the target.
